,STATE,month,counts
197,ME,5,104
198,ME,6,17
199,ME,7,20
200,ME,8,30
201,ME,9,6
202,ME,10,21
203,ME,11,38
204,ME,12,1
205,MI,1,1
206,MI,3,8
207,MI,4,92
208,MI,5,186
209,MI,6,35
210,MI,7,54
211,MI,8,47
212,MI,9,23
213,MI,10,5
214,MI,11,3
215,MI,12,1
216,MN,1,1
217,MN,2,1
218,MN,4,158
219,MN,5,737
220,MN,6,49
221,MN,7,56
222,MN,8,66
223,MN,9,26
224,MN,10,19
225,MN,11,19
226,MO,1,31
227,MO,2,24
228,MO,3,56
229,MO,4,112
230,MO,5,13
231,MO,6,13
232,MO,7,41
233,MO,8,7
234,MO,9,20
235,MO,10,8
236,MO,11,65
237,MO,12,23
238,MS,1,72
239,MS,2,148
240,MS,3,684
241,MS,4,89
242,MS,5,38
243,MS,6,28
244,MS,7,28
245,MS,8,51
246,MS,9,177
247,MS,10,46
248,MS,11,48
249,MS,12,79
250,MT,1,6
251,MT,2,8
252,MT,3,35
253,MT,4,69
254,MT,5,96
255,MT,6,80
256,MT,7,309
257,MT,8,535
258,MT,9,172
259,MT,10,35
260,MT,11,10
261,MT,12,4
262,NC,1,214
263,NC,2,314
264,NC,3,880
265,NC,4,525
266,NC,5,174
267,NC,6,73
268,NC,7,50
269,NC,8,36
270,NC,9,121
271,NC,10,149
272,NC,11,575
273,NC,12,218
274,ND,1,3
275,ND,2,1
276,ND,3,9
277,ND,4,31
278,ND,5,249
279,ND,6,38
280,ND,7,74
281,ND,8,67
282,ND,9,27
283,ND,10,23
284,ND,11,17
285,ND,12,2
286,NE,1,20
287,NE,2,22
288,NE,3,79
289,NE,4,75
290,NE,5,58
291,NE,6,42
292,NE,7,55
293,NE,8,16
294,NE,9,21
295,NE,10,12
296,NE,11,12
297,NE,12,11
298,NH,3,4
299,NH,4,55
300,NH,5,61
301,NH,6,6
302,NH,7,5
303,NH,8,3
304,NH,9,1
305,NH,10,9
306,NH,11,3
307,NJ,1,22
308,NJ,2,13
309,NJ,3,74
310,NJ,4,299
311,NJ,5,76
312,NJ,6,24
313,NJ,7,32
314,NJ,8,23
315,NJ,9,43
316,NJ,10,70
317,NJ,11,183
318,NJ,12,13
319,NM,1,13
320,NM,2,23
321,NM,3,124
322,NM,4,103
323,NM,5,146
324,NM,6,192
325,NM,7,304
326,NM,8,121
327,NM,9,25
328,NM,10,14
329,NM,11,4
330,NM,12,9
331,NV,1,2
332,NV,2,3
333,NV,3,14
334,NV,4,14
335,NV,5,31
336,NV,6,97
337,NV,7,192
338,NV,8,251
339,NV,9,30
340,NV,10,10
341,NV,11,9
342,NV,12,4
343,NY,1,103
344,NY,2,51
345,NY,3,199
346,NY,4,780
347,NY,5,696
348,NY,6,202
349,NY,7,152
350,NY,8,144
351,NY,9,113
352,NY,10,206
353,NY,11,224
354,NY,12,20
355,OH,1,11
356,OH,2,7
357,OH,3,74
358,OH,4,188
359,OH,5,11
360,OH,6,2
361,OH,8,3
362,OH,9,1
363,OH,10,2
364,OH,11,23
365,OH,12,1
366,OK,1,48
367,OK,2,68
368,OK,3,200
369,OK,4,66
370,OK,5,22
371,OK,6,15
372,OK,7,128
373,OK,8,63
374,OK,9,119
375,OK,10,7
376,OK,11,30
377,OK,12,29
378,OR,1,2
379,OR,2,6
380,OR,3,21
381,OR,4,47
382,OR,5,210
383,OR,6,160
384,OR,7,602
385,OR,8,1130
386,OR,9,304
387,OR,10,53
388,OR,11,23
389,OR,12,4
390,PA,1,2
391,PA,2,5
392,PA,3,70
393,PA,4,316
394,PA,5,122
395,PA,6,10
396,PA,7,7
397,PA,8,12
398,PA,9,12
399,PA,10,24
400,PA,11,58
401,PA,12,1
402,RI,3,3
403,RI,4,10
404,RI,5,2
405,RI,10,4
406,SC,1,246
407,SC,2,161
408,SC,3,522
409,SC,4,151
410,SC,5,75
411,SC,6,25
412,SC,7,11
413,SC,8,22
414,SC,9,52
415,SC,10,122
416,SC,11,170
417,SC,12,69
418,SD,1,26
419,SD,2,24
420,SD,3,89
421,SD,4,133
422,SD,5,146
423,SD,6,74
424,SD,7,239
425,SD,8,95
426,SD,9,107
427,SD,10,32
428,SD,11,45
429,SD,12,12
430,TN,1,28
431,TN,2,45
432,TN,3,169
433,TN,4,119
434,TN,5,13
435,TN,6,18
436,TN,7,10
437,TN,8,7
438,TN,9,18
439,TN,10,26
440,TN,11,130
441,TN,12,55
442,TX,1,802
443,TX,2,849
444,TX,3,1305
445,TX,4,522
446,TX,5,596
447,TX,6,943
448,TX,7,1612
449,TX,8,1263
450,TX,9,919
451,TX,10,371
452,TX,11,239
453,TX,12,314
454,UT,1,6
455,UT,2,2
456,UT,3,22
457,UT,4,45
458,UT,5,61
459,UT,6,204
460,UT,7,358
461,UT,8,468
462,UT,9,61
463,UT,10,14
464,UT,11,6
465,UT,12,2
466,VA,1,14
467,VA,2,43
468,VA,3,129
469,VA,4,194
470,VA,5,21
471,VA,6,6
472,VA,7,6
473,VA,8,2
474,VA,9,14
475,VA,10,15
476,VA,11,123
477,VA,12,14
478,VT,2,2
479,VT,3,5
480,VT,4,70
481,VT,5,45
482,VT,9,2
483,VT,10,2
484,WA,1,3
485,WA,2,1
486,WA,3,21
487,WA,4,43
488,WA,5,84
489,WA,6,126
490,WA,7,384
491,WA,8,465
492,WA,9,194
493,WA,10,44
494,WA,11,10
495,WA,12,3
496,WI,1,2
497,WI,3,2
498,WI,4,144
499,WI,5,254
500,WI,6,47
501,WI,7,63
502,WI,8,80
503,WI,9,50
504,WI,10,29
505,WI,11,19
506,WI,12,2
507,WV,1,10
508,WV,2,39
509,WV,3,98
510,WV,4,253
511,WV,5,37
512,WV,6,1
513,WV,7,2
514,WV,9,4
515,WV,10,15
516,WV,11,112
517,WV,12,9
518,WY,1,6
519,WY,2,1
520,WY,3,42
521,WY,4,54
522,WY,5,37
523,WY,6,57
524,WY,7,156
525,WY,8,141
526,WY,9,80
527,WY,10,6
528,WY,11,1
