,STATE,month,counts
458,VA,2,92
459,VA,3,271
460,VA,4,233
461,VA,5,35
462,VA,6,17
463,VA,7,24
464,VA,8,7
465,VA,9,10
466,VA,10,20
467,VA,11,60
468,VA,12,13
469,VT,4,31
470,VT,5,15
471,VT,6,1
472,VT,7,1
473,VT,9,1
474,VT,10,2
475,VT,11,4
476,WA,1,6
477,WA,2,4
478,WA,3,32
479,WA,4,89
480,WA,5,68
481,WA,6,178
482,WA,7,454
483,WA,8,486
484,WA,9,185
485,WA,10,55
486,WA,11,10
487,WI,3,26
488,WI,4,192
489,WI,5,212
490,WI,6,46
491,WI,7,46
492,WI,8,29
493,WI,9,6
494,WI,10,29
495,WI,11,18
496,WI,12,1
497,WV,1,5
498,WV,2,54
499,WV,3,304
500,WV,4,367
501,WV,5,59
502,WV,6,6
503,WV,7,7
504,WV,8,1
505,WV,9,3
506,WV,10,33
507,WV,11,107
508,WV,12,5
509,WY,1,3
510,WY,2,6
511,WY,3,20
512,WY,4,34
513,WY,5,52
514,WY,6,55
515,WY,7,252
516,WY,8,91
517,WY,9,37
518,WY,10,33
519,WY,11,9
520,WY,12,3
