geoid,longitude,latitude,population_density
05021,-90.26917,36.45732,20.24908
05023,-92.00208605128205,35.52971675213675,21.20696989316239
05025,-92.16403884848485,33.90486426262626,14.15445334848485
05027,-93.22471864795918,33.22794389285714,12.03082857142857
05029,-92.64866860115109,35.32272550755396,53.27746266187051
05031,-90.610877856,35.925840122,11.092885
05033,-94.27152667162963,35.562349038814816,32.273156400000005
05035,-90.28170999999999,35.28288666666666,101.9586
05037,-90.76951000000001,35.19589333333334,101.9586
05039,-92.67305312396694,33.980318256198345,18.394312190082648
05041,-91.0449470967742,33.99236537645161,3.7473866774193554
05043,-91.77555293181818,33.60981826515152,10.065384363636364
05045,-92.3224011970803,35.1612354379562,67.90153386861314
05047,-93.89787813736365,35.496929040454546,23.535768418181817
05049,-91.8093350505618,36.37494733707865,8.906624665730337
