,FIRE_YEAR,month_,STATE,frequency
510,2022,7,TN,177
511,2022,8,TN,150
512,2022,9,TN,124
513,2022,10,TN,97
514,2022,11,TN,71
515,2022,12,TN,44
516,2022,1,TX,4181
517,2022,2,TX,4155
518,2022,3,TX,4128
519,2022,4,TX,4102
520,2022,5,TX,4075
521,2022,6,TX,4049
522,2022,7,TX,4022
523,2022,8,TX,3995
524,2022,9,TX,3969
525,2022,10,TX,3942
526,2022,11,TX,3916
527,2022,12,TX,3889
528,2022,1,UT,377
529,2022,2,UT,350
530,2022,3,UT,324
531,2022,4,UT,297
532,2022,5,UT,270
533,2022,6,UT,244
534,2022,7,UT,217
535,2022,8,UT,191
536,2022,9,UT,164
537,2022,10,UT,137
538,2022,11,UT,111
539,2022,12,UT,84
540,2022,1,VA,234
541,2022,2,VA,208
542,2022,3,VA,181
543,2022,4,VA,155
544,2022,5,VA,128
545,2022,6,VA,101
546,2022,7,VA,75
547,2022,8,VA,48
548,2022,9,VA,22
549,2022,10,VA,0
550,2022,11,VA,0
551,2022,12,VA,0
552,2022,1,VT,40
553,2022,2,VT,13
554,2022,3,VT,0
555,2022,4,VT,0
556,2022,5,VT,0
557,2022,6,VT,0
558,2022,7,VT,0
559,2022,8,VT,0
560,2022,9,VT,0
561,2022,10,VT,0
562,2022,11,VT,0
563,2022,12,VT,0
564,2022,1,WA,551
565,2022,2,WA,525
566,2022,3,WA,498
567,2022,4,WA,471
568,2022,5,WA,445
569,2022,6,WA,418
570,2022,7,WA,392
571,2022,8,WA,365
572,2022,9,WA,338
573,2022,10,WA,312
574,2022,11,WA,285
575,2022,12,WA,259
576,2022,1,WI,304
577,2022,2,WI,277
578,2022,3,WI,251
579,2022,4,WI,224
580,2022,5,WI,197
581,2022,6,WI,171
582,2022,7,WI,144
583,2022,8,WI,118
584,2022,9,WI,91
585,2022,10,WI,64
586,2022,11,WI,38
587,2022,12,WI,11
588,2022,1,WV,201
589,2022,2,WV,174
590,2022,3,WV,148
591,2022,4,WV,121
592,2022,5,WV,94
593,2022,6,WV,68
594,2022,7,WV,41
595,2022,8,WV,15
596,2022,9,WV,0
597,2022,10,WV,0
598,2022,11,WV,0
599,2022,12,WV,0
600,2022,1,WY,226
601,2022,2,WY,200
602,2022,3,WY,173
603,2022,4,WY,146
604,2022,5,WY,120
605,2022,6,WY,93
606,2022,7,WY,67
607,2022,8,WY,40
608,2022,9,WY,14
609,2022,10,WY,0
610,2022,11,WY,0
611,2022,12,WY,0
